prediction_id,created_at,symbol_name,symbol_code,her_action,reverse_view,confidence,day_number,date,close_price,change_pct_close,result
36,2024-04-29 01:38:29+00:00,元大台灣價值高息,00940,買入,空,,1,2024-04-29,9.63,0.63,loss
36,2024-04-29 01:38:29+00:00,元大台灣價值高息,00940,買入,空,,2,2024-04-30,9.6,0.31,loss
36,2024-04-29 01:38:29+00:00,元大台灣價值高息,00940,買入,空,,3,2024-05-02,9.58,0.1,loss
36,2024-04-29 01:38:29+00:00,元大台灣價值高息,00940,買入,空,,4,2024-05-03,9.56,-0.1,win
36,2024-04-29 01:38:29+00:00,元大台灣價值高息,00940,買入,空,,5,2024-05-06,9.6,0.31,loss
72,2024-06-03 02:01:28+00:00,台泥,1101,看空,多,,1,2024-06-03,33.0,-0.3,loss
72,2024-06-03 02:01:28+00:00,台泥,1101,看空,多,,2,2024-06-04,32.7,-1.21,loss
72,2024-06-03 02:01:28+00:00,台泥,1101,看空,多,,3,2024-06-05,32.7,-1.21,loss
72,2024-06-03 02:01:28+00:00,台泥,1101,看空,多,,4,2024-06-06,32.7,-1.21,loss
72,2024-06-03 02:01:28+00:00,台泥,1101,看空,多,,5,2024-06-07,33.05,-0.15,loss
104,2024-06-21 05:43:26+00:00,台泥,1101,賣出,多,,1,2024-06-24,34.25,0.29,win
104,2024-06-21 05:43:26+00:00,台泥,1101,賣出,多,,2,2024-06-25,34.5,1.02,win
104,2024-06-21 05:43:26+00:00,台泥,1101,賣出,多,,3,2024-06-26,34.4,0.73,win
104,2024-06-21 05:43:26+00:00,台泥,1101,賣出,多,,4,2024-06-27,34.25,0.29,win
104,2024-06-21 05:43:26+00:00,台泥,1101,賣出,多,,5,2024-06-28,34.2,0.15,win
25,2024-04-15 01:18:54+00:00,士電,1503,賣出後賣飛,多,,1,2024-04-15,309.0,-8.31,loss
25,2024-04-15 01:18:54+00:00,士電,1503,賣出後賣飛,多,,2,2024-04-16,307.0,-8.9,loss
25,2024-04-15 01:18:54+00:00,士電,1503,賣出後賣飛,多,,3,2024-04-17,337.5,0.15,win
25,2024-04-15 01:18:54+00:00,士電,1503,賣出後賣飛,多,,4,2024-04-18,333.5,-1.04,loss
25,2024-04-15 01:18:54+00:00,士電,1503,賣出後賣飛,多,,5,2024-04-19,327.5,-2.82,loss
242,2025-04-02 00:30:53+00:00,士電,1503,攤平（逢低買入）,空,,1,2025-04-07,139.5,-7.0,win
242,2025-04-02 00:30:53+00:00,士電,1503,攤平（逢低買入）,空,,2,2025-04-08,126.0,-16.0,win
242,2025-04-02 00:30:53+00:00,士電,1503,攤平（逢低買入）,空,,3,2025-04-09,113.5,-24.33,win
242,2025-04-02 00:30:53+00:00,士電,1503,攤平（逢低買入）,空,,4,2025-04-10,124.5,-17.0,win
242,2025-04-02 00:30:53+00:00,士電,1503,攤平（逢低買入）,空,,5,2025-04-11,136.5,-9.0,win
214,2025-02-17 00:09:37+00:00,中鋼,2002,買入,空,,1,2025-02-18,22.4,-3.66,win
214,2025-02-17 00:09:37+00:00,中鋼,2002,買入,空,,2,2025-02-19,22.35,-3.87,win
214,2025-02-17 00:09:37+00:00,中鋼,2002,買入,空,,3,2025-02-20,22.65,-2.58,win
214,2025-02-17 00:09:37+00:00,中鋼,2002,買入,空,,4,2025-02-21,23.0,-1.08,win
214,2025-02-17 00:09:37+00:00,中鋼,2002,買入,空,,5,2025-02-24,23.2,-0.22,win
100,2024-06-19 12:40:55+00:00,台船,2208,被套,空,,1,2024-06-20,17.5,-0.85,win
100,2024-06-19 12:40:55+00:00,台船,2208,被套,空,,2,2024-06-21,17.75,0.57,loss
100,2024-06-19 12:40:55+00:00,台船,2208,被套,空,,3,2024-06-24,17.75,0.57,loss
100,2024-06-19 12:40:55+00:00,台船,2208,被套,空,,4,2024-06-25,17.6,-0.28,win
100,2024-06-19 12:40:55+00:00,台船,2208,被套,空,,5,2024-06-26,17.45,-1.13,win
185,2024-11-28 02:01:29+00:00,聯電,2303,被套未停損,空,,1,2024-11-28,43.9,-0.11,win
185,2024-11-28 02:01:29+00:00,聯電,2303,被套未停損,空,,2,2024-11-29,43.55,-0.91,win
185,2024-11-28 02:01:29+00:00,聯電,2303,被套未停損,空,,3,2024-12-02,44.6,1.48,loss
185,2024-11-28 02:01:29+00:00,聯電,2303,被套未停損,空,,4,2024-12-03,44.8,1.93,loss
185,2024-11-28 02:01:29+00:00,聯電,2303,被套未停損,空,,5,2024-12-04,44.45,1.14,loss
274,2025-08-29 17:42:09+00:00,聯電,2303,買入,空,,1,2025-09-01,40.75,0.62,loss
274,2025-08-29 17:42:09+00:00,聯電,2303,買入,空,,2,2025-09-02,40.9,0.99,loss
274,2025-08-29 17:42:09+00:00,聯電,2303,買入,空,,3,2025-09-03,40.9,0.99,loss
274,2025-08-29 17:42:09+00:00,聯電,2303,買入,空,,4,2025-09-04,42.0,3.7,loss
274,2025-08-29 17:42:09+00:00,聯電,2303,買入,空,,5,2025-09-05,41.2,1.73,loss
281,2025-09-10 14:47:01+00:00,台達電,2308,計畫買入,空,,1,2025-09-11,831.0,5.99,loss
281,2025-09-10 14:47:01+00:00,台達電,2308,計畫買入,空,,2,2025-09-12,837.0,6.76,loss
281,2025-09-10 14:47:01+00:00,台達電,2308,計畫買入,空,,3,2025-09-15,836.0,6.63,loss
281,2025-09-10 14:47:01+00:00,台達電,2308,計畫買入,空,,4,2025-09-16,841.0,7.27,loss
281,2025-09-10 14:47:01+00:00,台達電,2308,計畫買入,空,,5,2025-09-17,836.0,6.63,loss
286,2025-10-13 01:08:09+00:00,台達電,2308,計畫買入,空,,1,2025-10-13,1030.0,6.4,loss
286,2025-10-13 01:08:09+00:00,台達電,2308,計畫買入,空,,2,2025-10-14,992.0,2.48,loss
286,2025-10-13 01:08:09+00:00,台達電,2308,計畫買入,空,,3,2025-10-15,1015.0,4.86,loss
286,2025-10-13 01:08:09+00:00,台達電,2308,計畫買入,空,,4,2025-10-16,1025.0,5.89,loss
286,2025-10-13 01:08:09+00:00,台達電,2308,計畫買入,空,,5,2025-10-17,999.0,3.2,loss
315,2026-02-10 01:22:39+00:00,台達電,2308,被套,空,,1,2026-02-10,1185.0,-1.66,win
315,2026-02-10 01:22:39+00:00,台達電,2308,被套,空,,2,2026-02-11,1260.0,4.56,loss
315,2026-02-10 01:22:39+00:00,台達電,2308,被套,空,,3,2026-02-23,1305.0,8.3,loss
315,2026-02-10 01:22:39+00:00,台達電,2308,被套,空,,4,2026-02-24,1385.0,14.94,loss
315,2026-02-10 01:22:39+00:00,台達電,2308,被套,空,,5,2026-02-25,1435.0,19.09,loss
89,2024-06-14 01:29:49+00:00,鴻海,2317,看多,空,,1,2024-06-14,198.0,2.86,loss
89,2024-06-14 01:29:49+00:00,鴻海,2317,看多,空,,2,2024-06-17,200.0,3.9,loss
89,2024-06-14 01:29:49+00:00,鴻海,2317,看多,空,,3,2024-06-18,198.5,3.12,loss
89,2024-06-14 01:29:49+00:00,鴻海,2317,看多,空,,4,2024-06-19,203.0,5.45,loss
89,2024-06-14 01:29:49+00:00,鴻海,2317,看多,空,,5,2024-06-20,217.5,12.99,loss
